name,type
משכורת אריאנה (נטו),income
משכורת אלון (נטו),income
קצבת ילדים,income
הכנסה אחרת / חד פעמית,income
משכנתא / דמי שכירות,vital and reoccuring
גן ילדים,vital and reoccuring
ביטוח,vital and reoccuring
בייביסיטר,vital and reoccuring
תחבורה,vital and reoccuring
מצרכי מזון - בית,vital and changes
מצרכי מזון - עבודה,vital and changes
רפואה,vital and changes
חשבון חשמל,vital and changes
חשבון מים וביוב,vital and changes
תשתית אינטרנט,unnecessary and reoccuring
סלולארי,unnecessary and reoccuring
חדר כושר/חוגים,unnecessary and reoccuring
קורסים,unnecessary and reoccuring
הוצאות רכב,unnecessary and changes
אוכל בחוץ,unnecessary and changes
חניה,unnecessary and changes
אטרקציות,unnecessary and changes
חופשות בארץ,unnecessary and changes
"חופשות בחו""ל",unnecessary and changes
"ביגוד, תכשיטים וקוסמטיקה",unnecessary and changes
בגדים לילד,unnecessary and changes
ציוד לילד,unnecessary and changes
"רהיטים, כלי בית וגן",unnecessary and changes
שיפוץ ועיצוב הבית,unnecessary and changes
גאדג'טים ואלקטרוניקה,unnecessary and changes
מתנות,unnecessary and changes
ספרים,unnecessary and changes
חגים,unnecessary and changes
יהדות,unnecessary and changes
צדקה,unnecessary and changes
תשלום לאוניברסיטה,study
שכירות,investment
ביטוח דירה,investment
תחזוקה,investment
ניהול,investment
ריהוט,investment
משכנתא,investment